type,cell,n,wd_mouth,wd_L11,wd_L1,wd_L11H16,wd_qmean
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,247,0.2871307776913499,0.22213153423237514,0.29547132034014173,0.22625751738504188,0.15932413527134254
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000",250,0.3158830290799325,0.22484838315334696,0.2932180581285279,0.21674476386054659,0.11378376147890623
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $75,000-$100,000",250,0.3527288874499695,0.24298493070834565,0.3237011024729863,0.24693226406967778,0.14687104258818995
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | Less than $30,000",250,0.2757501803798692,0.19972787706483236,0.26099504746201324,0.19684166138506282,0.1255494539218341
EDUCATIONxINCOME,EDUCATIONxINCOME :: High school graduate | Refused,163,0.3500826861337704,0.2499858231153467,0.3224669663344306,0.24049867205858785,0.16831372795408692
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Less than high school | $30,000-$50,000",171,0.31356884048266853,0.2473762326254087,0.3040658636169096,0.23781838366843308,0.18617692223139468
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Less than high school | $50,000-$75,000",15,0.2196464360429779,0.23964622395829646,0.2770472131380154,0.19973833448176748,0.19433733550797763
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Less than high school | Less than $30,000",250,0.2899857455778401,0.21998776205898884,0.26593676065006466,0.22453818938829176,0.19568926483644153
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Postgraduate | $100,000 or more",250,0.34509882236862244,0.2559197186612636,0.33693850922992413,0.24617050892428877,0.14093591371407468
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Postgraduate | $30,000-$50,000",250,0.3270834306644026,0.2455755833363753,0.3258918347724265,0.24165682644739478,0.1461880489188007
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Postgraduate | $50,000-$75,000",250,0.3062718196439912,0.23653737809085146,0.31512420367516786,0.23091786993144278,0.1271768202573808
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Postgraduate | $75,000-$100,000",250,0.32361941355600043,0.24535431671708308,0.33025573209074516,0.23803808931679954,0.13316973698606435
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Postgraduate | Less than $30,000",221,0.31437978234954955,0.24953704659029588,0.30010255271571246,0.23381694706593822,0.162694654025038
EDUCATIONxINCOME,EDUCATIONxINCOME :: Postgraduate | Refused,122,0.3571980799271562,0.26264613640142925,0.33215972486929196,0.2616066371732614,0.182297454985658
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | $100,000 or more",250,0.3207737782674957,0.23331732250595957,0.30569250417617955,0.22734990930705562,0.12370778421350825
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | $30,000-$50,000",250,0.298362460281846,0.20138379510919904,0.27560232498071535,0.20097086769133166,0.08947160255569628
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | $50,000-$75,000",250,0.30182272100167035,0.21255383887633283,0.2912507971806874,0.20794369184983372,0.09030534938538459
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | $75,000-$100,000",250,0.32531719027785944,0.2162916663055339,0.30457309729178805,0.2129707208020833,0.10237030246327444
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | Less than $30,000",250,0.2717244139771996,0.19915861103351923,0.2714917904114259,0.19359468932239185,0.11597634006767328
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | Refused",189,0.38488299890828453,0.2557090631844832,0.3329102733833109,0.25457523554552935,0.17344409191656496
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Democrat,250,0.3471966561486961,0.27367945275842703,0.3445386001928871,0.2699595814011063,0.18496620003533717
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Independent,250,0.31719727025649935,0.22963847432106615,0.29892398435328066,0.2252627420116186,0.13300795604340296
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Other,203,0.34928635512398815,0.27387021699602776,0.33578836430449516,0.262108238574719,0.19537077440239736
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Republican,71,0.4804080921567354,0.35779853865090033,0.3795472106028987,0.37781146581174513,0.32869525632085117
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat,250,0.354004108407136,0.3002819779452084,0.3817990225278984,0.30101271971942545,0.2106241468254358
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Independent,250,0.31310694500276065,0.2547026491443822,0.3304469576235306,0.2516954167135268,0.15772332745615203
