component,layer,head,template,attr_type,rho
resid,10,-1,Tmean,RACExPOLPARTY,0.19415571666013443
resid,10,-1,Tmean,RACExRELIG,0.07660898477349153
resid,10,-1,Tmean,RELIGxPOLPARTY,0.23042495156260703
resid,11,-1,T0,AGExPOLPARTY,0.48376623376623373
resid,11,-1,T0,EDUCATIONxINCOME,0.5322398848501589
resid,11,-1,T0,RACExPOLIDEOLOGY,0.42896803408096185
resid,11,-1,T0,RACExPOLPARTY,0.22149199679430787
resid,11,-1,T0,RACExRELIG,0.08655476631276685
resid,11,-1,T0,RELIGxPOLPARTY,0.27013734497483005
resid,11,-1,T1,AGExPOLPARTY,0.4873212442871885
resid,11,-1,T1,EDUCATIONxINCOME,0.5506227065495386
resid,11,-1,T1,RACExPOLIDEOLOGY,0.39252045256085855
resid,11,-1,T1,RACExPOLPARTY,0.18492382731321091
resid,11,-1,T1,RACExRELIG,0.10310254278913364
resid,11,-1,T1,RELIGxPOLPARTY,0.231179977169915
resid,11,-1,T2,AGExPOLPARTY,0.4658202994116306
resid,11,-1,T2,EDUCATIONxINCOME,0.49622622124609117
resid,11,-1,T2,RACExPOLIDEOLOGY,0.31494202240578606
resid,11,-1,T2,RACExPOLPARTY,0.2649935329676157
resid,11,-1,T2,RACExRELIG,0.05424887852084103
resid,11,-1,T2,RELIGxPOLPARTY,0.11885800441068227
resid,11,-1,T3,AGExPOLPARTY,0.48156152413118347
resid,11,-1,T3,EDUCATIONxINCOME,0.5182687707904454
resid,11,-1,T3,RACExPOLIDEOLOGY,0.3101761897279173
resid,11,-1,T3,RACExPOLPARTY,0.17567753845083114
resid,11,-1,T3,RACExRELIG,0.054749688291079464
resid,11,-1,T3,RELIGxPOLPARTY,0.1687431936169065
resid,11,-1,Tmean,AGExPOLPARTY,0.48530081889215004
resid,11,-1,Tmean,EDUCATIONxINCOME,0.5452265251598425
resid,11,-1,Tmean,RACExPOLIDEOLOGY,0.39082728648263
resid,11,-1,Tmean,RACExPOLPARTY,0.19315015049743578
resid,11,-1,Tmean,RACExRELIG,0.07713360033248952
resid,11,-1,Tmean,RELIGxPOLPARTY,0.21981961243596776
resid,12,-1,T0,AGExPOLPARTY,0.47901505099647507
resid,12,-1,T0,EDUCATIONxINCOME,0.5556623056120874
resid,12,-1,T0,RACExPOLIDEOLOGY,0.4097521800089059
resid,12,-1,T0,RACExPOLPARTY,0.20981518971886595
resid,12,-1,T0,RACExRELIG,0.07602996183927155
resid,12,-1,T0,RELIGxPOLPARTY,0.2760357000715809
resid,12,-1,T1,AGExPOLPARTY,0.48367576695750064
resid,12,-1,T1,EDUCATIONxINCOME,0.5673863966532459
resid,12,-1,T1,RACExPOLIDEOLOGY,0.378091394748652
resid,12,-1,T1,RACExPOLPARTY,0.20200795243240066
resid,12,-1,T1,RACExRELIG,0.08385952317980883
resid,12,-1,T1,RELIGxPOLPARTY,0.23643833180015073
resid,12,-1,T2,AGExPOLPARTY,0.44367268438475865
resid,12,-1,T2,EDUCATIONxINCOME,0.48527805758339915
resid,12,-1,T2,RACExPOLIDEOLOGY,0.30649003440046
resid,12,-1,T2,RACExPOLPARTY,0.26767724266078446
resid,12,-1,T2,RACExRELIG,0.045480409566630145
resid,12,-1,T2,RELIGxPOLPARTY,0.11268018146565834
resid,12,-1,T3,AGExPOLPARTY,0.45732312063581415
resid,12,-1,T3,EDUCATIONxINCOME,0.5307196408545847
resid,12,-1,T3,RACExPOLIDEOLOGY,0.32212193772572173
resid,12,-1,T3,RACExPOLPARTY,0.18073716819429028
resid,12,-1,T3,RACExRELIG,0.049779536781652624
resid,12,-1,T3,RELIGxPOLPARTY,0.18399357375385786
resid,12,-1,Tmean,AGExPOLPARTY,0.47349322504121266
resid,12,-1,Tmean,EDUCATIONxINCOME,0.5622224747628737
resid,12,-1,Tmean,RACExPOLIDEOLOGY,0.37298795613908703
resid,12,-1,Tmean,RACExPOLPARTY,0.19759360097532716
resid,12,-1,Tmean,RACExRELIG,0.07307496127252805
resid,12,-1,Tmean,RELIGxPOLPARTY,0.2275761476637067
resid,13,-1,T0,AGExPOLPARTY,0.46470454210392287
resid,13,-1,T0,EDUCATIONxINCOME,0.5668653005775428
resid,13,-1,T0,RACExPOLIDEOLOGY,0.3876295023011266
resid,13,-1,T0,RACExPOLPARTY,0.2235778266061347
resid,13,-1,T0,RACExRELIG,0.09791192806135943
resid,13,-1,T0,RELIGxPOLPARTY,0.28033113828237866
resid,13,-1,T1,AGExPOLPARTY,0.4900654041520915
resid,13,-1,T1,EDUCATIONxINCOME,0.5713213568193967
resid,13,-1,T1,RACExPOLIDEOLOGY,0.35532380091348614
resid,13,-1,T1,RACExPOLPARTY,0.21273289153819977
resid,13,-1,T1,RACExRELIG,0.10443987344806153
resid,13,-1,T1,RELIGxPOLPARTY,0.23285928591109678
resid,13,-1,T2,AGExPOLPARTY,0.41138943615723794
resid,13,-1,T2,EDUCATIONxINCOME,0.48301081681972924
resid,13,-1,T2,RACExPOLIDEOLOGY,0.30357050048468825
resid,13,-1,T2,RACExPOLPARTY,0.27642164841153094
resid,13,-1,T2,RACExRELIG,0.035758491706653565
resid,13,-1,T2,RELIGxPOLPARTY,0.11751684620879355
resid,13,-1,T3,AGExPOLPARTY,0.4515097905190784
resid,13,-1,T3,EDUCATIONxINCOME,0.5422586743094092
resid,13,-1,T3,RACExPOLIDEOLOGY,0.2956453797043815
resid,13,-1,T3,RACExPOLPARTY,0.1926083687283923
resid,13,-1,T3,RACExRELIG,0.047459477840329466
resid,13,-1,T3,RELIGxPOLPARTY,0.17483529828541106
resid,13,-1,Tmean,AGExPOLPARTY,0.4635519279482127
resid,13,-1,Tmean,EDUCATIONxINCOME,0.5776829355383286
resid,13,-1,Tmean,RACExPOLIDEOLOGY,0.3483313338581986
resid,13,-1,Tmean,RACExPOLPARTY,0.20632480717023874
resid,13,-1,Tmean,RACExRELIG,0.07695280915857483
resid,13,-1,Tmean,RELIGxPOLPARTY,0.22284495514894223
resid,14,-1,T0,AGExPOLPARTY,0.44901022610000935
resid,14,-1,T0,EDUCATIONxINCOME,0.5539244762870308
resid,14,-1,T0,RACExPOLIDEOLOGY,0.3787462353412819
resid,14,-1,T0,RACExPOLPARTY,0.2174592324968265
resid,14,-1,T0,RACExRELIG,0.15916197528998374
resid,14,-1,T0,RELIGxPOLPARTY,0.27839255931640094
resid,14,-1,T1,AGExPOLPARTY,0.4906718668328575
resid,14,-1,T1,EDUCATIONxINCOME,0.5821424157531453
resid,14,-1,T1,RACExPOLIDEOLOGY,0.339759105370398
resid,14,-1,T1,RACExPOLPARTY,0.2313250659115321
resid,14,-1,T1,RACExRELIG,0.19900272036876113
resid,14,-1,T1,RELIGxPOLPARTY,0.24357776297240127
resid,14,-1,T2,AGExPOLPARTY,0.41303124120461576
resid,14,-1,T2,EDUCATIONxINCOME,0.4804417659100884
resid,14,-1,T2,RACExPOLIDEOLOGY,0.2949430061466392
resid,14,-1,T2,RACExPOLPARTY,0.28753357449521827
resid,14,-1,T2,RACExRELIG,0.040894510144708504
resid,14,-1,T2,RELIGxPOLPARTY,0.12267409397656052
resid,14,-1,T3,AGExPOLPARTY,0.44030195810381567
